timestamp,tag,duration,package_0,package_1,package_total,dram_0,dram_1,dram_total,Total,nvidia_gpu_0
1704694975,test_stemming_GENSIM,9.223056555,402.04,482.06,884.1,40.54,41.82,82.36,966.46,120.8
1704695079,test_stemming_GENSIM,9.538462877,415.58,498.71,914.29,42.06,43.66,85.72,1000.01,124.6
1704695183,test_stemming_GENSIM,9.562011957,417.83,499.68,917.51,42.32,43.82,86.14,1003.65,124.31
1704695287,test_stemming_GENSIM,9.518354654,415.06,498.21,913.27,41.98,43.86,85.84,999.11,124.5
1704695390,test_stemming_GENSIM,9.481669188,413.75,501.56,915.31,41.86,43.63,85.49,1000.8,126.62
1704695494,test_stemming_GENSIM,9.491172791,414.37,501.52,915.89,41.87,43.67,85.54,1001.43,126.41
1704695598,test_stemming_GENSIM,9.488211393,415.18,495.61,910.79,42,43.54,85.54,996.33,126.94
1704695806,test_stemming_GENSIM,8.750970125,381.8,464.39,846.19,38.61,39.24,77.85,924.04,116.85
1704695910,test_stemming_GENSIM,8.74625802,382.24,464.54,846.78,38.64,39.17,77.81,924.59,118.09
1704695014,test_stopword_removal_GENSIM,2.234417439,97.66,115.59,213.25,9.9,11.15,21.05,234.3,27.91
1704695119,test_stopword_removal_GENSIM,2.302556515,99.21,118.1,217.31,10.14,11.74,21.88,239.19,29.92
1704695222,test_stopword_removal_GENSIM,2.259038687,97.25,115.95,213.2,9.97,11.76,21.73,234.93,28.06
1704695326,test_stopword_removal_GENSIM,2.276105404,98.29,118.6,216.89,10.07,11.69,21.76,238.65,29.89
1704695430,test_stopword_removal_GENSIM,2.265676737,97.59,118.28,215.87,9.98,11.7,21.68,237.55,29.59
1704695534,test_stopword_removal_GENSIM,2.271717548,97.67,118.18,215.85,10.02,11.6,21.62,237.47,29.64
1704695638,test_stopword_removal_GENSIM,2.249631405,96.97,117.52,214.49,9.93,11.66,21.59,236.08,29.88
1704695741,test_stopword_removal_GENSIM,2.234736443,96.33,116.59,212.92,9.86,11.37,21.23,234.15,29.4
1704695845,test_stopword_removal_GENSIM,2.295969248,99.27,119.42,218.69,10.19,11.79,21.98,240.67,30.77
1704695949,test_stopword_removal_GENSIM,2.231498003,96.26,116.4,212.66,9.85,11.39,21.24,233.9,29.31
1704694943,test_tokenization_GENSIM,2.27701807,98.32,117.03,215.35,10.08,10.83,20.91,236.26,29.1
1704695046,test_tokenization_GENSIM,2.585670471,111.29,132.62,243.91,11.4,12.71,24.11,268.02,34.29
1704695151,test_tokenization_GENSIM,1.919152975,82.21,99.33,181.54,8.46,8.79,17.25,198.79,23.96
1704695255,test_tokenization_GENSIM,1.951876879,84.19,100.98,185.17,8.66,8.99,17.65,202.82,24.4
1704695359,test_tokenization_GENSIM,1.91710639,82.08,101.38,183.46,8.45,8.81,17.26,200.72,25.16
1704695462,test_tokenization_GENSIM,1.935140371,82.86,102.22,185.08,8.54,8.99,17.53,202.61,25.49
1704695566,test_tokenization_GENSIM,1.919406414,82.26,101.07,183.33,8.47,8.86,17.33,200.66,25.29
1704695670,test_tokenization_GENSIM,1.918698311,82.4,101.15,183.55,8.47,8.88,17.35,200.9,24.92
1704695773,test_tokenization_GENSIM,2.676758051,115.97,139.35,255.32,11.85,13.28,25.13,280.45,34.66
1704695877,test_tokenization_GENSIM,2.670757532,115.55,139.14,254.69,11.79,13.31,25.1,279.79,36.23
