timestamp,tag,duration,package_0,package_1,package_total,dram_0,dram_1,dram_total,Total,nvidia_gpu_0,GPU-SD,DRAM-SD,PKG-SD,Time-SD
1707132718,test_stemming_GENSIM,43.51381946,1909.98,2320.48,4230.46,191.89,198.38,390.27,4620.73,574.54,8.165669157,7.453985511,74.60330831,0.7140101755
1707132869,test_stemming_GENSIM,44.31510162,1945,2362.87,4307.87,195.45,202.81,398.26,4706.13,588.81,,,,
1707133022,test_stemming_GENSIM,44.10205507,1935.19,2350.32,4285.51,194.52,204.33,398.85,4684.36,579.46,,,,
1707133174,test_stemming_GENSIM,43.939533,1928.36,2357.56,4285.92,193.74,204.4,398.14,4684.06,578.35,,,,
1707133478,test_stemming_GENSIM,43.89966559,1925.86,2330.45,4256.31,193.61,205.91,399.52,4655.83,584.27,,,,
1707133630,test_stemming_GENSIM,44.01592326,1930.74,2336.25,4266.99,194.12,206.29,400.41,4667.4,582.91,,,,
1707133782,test_stemming_GENSIM,44.14751267,1945.87,2356.11,4301.98,195.5,204.5,400,4701.98,587.02,,,,
1707133934,test_stemming_GENSIM,42.43503881,1860.93,2257.53,4118.46,187.15,196.26,383.41,4501.87,562.67,,,,
1707134086,test_stemming_GENSIM,42.46275449,1861.75,2251.58,4113.33,187.29,194.29,381.58,4494.91,572.47,,,,
1707132791,test_stopword_removal_GENSIM,9.841174603,431.75,525.23,956.98,43.49,48.98,92.47,1049.45,129.12,11.83281731,8.28984258,79.9349202,0.8548681053
1707132944,test_stopword_removal_GENSIM,9.867509127,431.67,526.66,958.33,43.52,50.12,93.64,1051.97,129.12,,,,
1707133096,test_stopword_removal_GENSIM,8.232871771,359.9,443.53,803.43,36.31,41.03,77.34,880.77,108.45,,,,
1707133248,test_stopword_removal_GENSIM,8.189648628,357.93,444.75,802.68,36.12,40.48,76.6,879.28,107.17,,,,
1707133400,test_stopword_removal_GENSIM,8.133188963,355.53,435.42,790.95,35.87,40.43,76.3,867.25,106.3,,,,
1707133552,test_stopword_removal_GENSIM,8.142651081,356.24,437.14,793.38,35.92,41.2,77.12,870.5,108.55,,,,
1707133704,test_stopword_removal_GENSIM,8.105086088,354.39,436.14,790.53,35.74,40.38,76.12,866.65,105.18,,,,
1707133856,test_stopword_removal_GENSIM,8.113297939,354.66,439.84,794.5,35.78,40.24,76.02,870.52,107.75,,,,
1707134006,test_stopword_removal_GENSIM,9.818936586,429.47,521.37,950.84,43.3,49.97,93.27,1044.11,130.13,,,,
1707134158,test_stopword_removal_GENSIM,9.689815044,424.18,509.53,933.71,42.74,48.11,90.85,1024.56,131.74,,,,
1707132679,test_tokenization_GENSIM,9.311569452,407.02,490.66,897.68,41.07,45.92,86.99,984.67,123.04,8.841899243,7.056423079,62.16772478,0.6497422733
1707132831,test_tokenization_GENSIM,8.049530983,351.72,427.57,779.29,35.5,38.28,73.78,853.07,106.8,,,,
1707132984,test_tokenization_GENSIM,8.112555027,354.57,431.09,785.66,35.78,38.96,74.74,860.4,106.72,,,,
1707133134,test_tokenization_GENSIM,9.626907825,421.21,512.68,933.89,42.46,48.51,90.97,1024.86,127.05,,,,
1707133286,test_tokenization_GENSIM,9.625812054,421,513.04,934.04,42.47,48.27,90.74,1024.78,125.43,,,,
1707133438,test_tokenization_GENSIM,9.608787537,420.48,505.97,926.45,42.38,48.48,90.86,1017.31,125.91,,,,
1707133590,test_tokenization_GENSIM,9.650310516,422.42,508.62,931.04,42.55,48.15,90.7,1021.74,127.93,,,,
1707133742,test_tokenization_GENSIM,9.689656973,423.84,512.28,936.12,42.72,48.79,91.51,1027.63,126.91,,,,
1707133894,test_tokenization_GENSIM,9.688742161,424.01,511.36,935.37,42.73,49.5,92.23,1027.6,130.97,,,,
1707134046,test_tokenization_GENSIM,9.602855206,420.26,504.86,925.12,42.36,48.94,91.3,1016.42,129.5,,,,
